Id,type,label,Parent
173,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.getMetaLong,153
174,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.getSchema,153
175,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.peek,153
176,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.iterator,153
177,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.hasNext,153
178,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.next,153
179,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.remove,153
180,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.next,153
181,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.skipSync,153
182,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.seek,153
183,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.sync,153
184,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.pastSync,153
185,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.tell,153
186,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.close,153
187,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java,92
188,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.reader,187
189,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.blockSize,187
190,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.availableBlock,187
191,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.header,187
192,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.vin,187
193,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.datumIn,187
194,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.blockBuffer,187
195,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.blockCount,187
196,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.blockRemaining,187
197,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.syncBuffer,187
198,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.codec,187
199,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.initialize,187
200,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.initialize,187
201,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.resolveCodec,187
202,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getHeader,187
203,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getSchema,187
204,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getMetaKeys,187
205,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getMeta,187
206,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getMetaString,187
207,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.getMetaLong,187
208,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.iterator,187
209,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.block,187
